id;Title;Content;SKU;Product Type;Parent Product ID;Regular Price;Stock
10182;Ultracell LiFePO4 Аккумулятор литий-железо-фосфатный 25.6V 100Ah Grade A DISPLAY;"Ultracell LiFePO4 Аккумулятор литий-железо-фосфатный 25.6V 100Ah Grade A DISPLAY

<span class=""Y2IQFc"" lang=""ru"">В литий-железо-фосфатных аккумуляторах Ultracell LiFePO4 используются только ячейки класса А, которые обладают высочайшим качеством и соответствуют всем техническим характеристикам, заявленным производителем, что гарантирует долговечность и стабильность работы.</span>

<span class=""Y2IQFc"" lang=""ru"">Ячейки класса А имеют: </span>

<span class=""Y2IQFc"" lang=""ru"">- одинаковую емкость и напряжение – все ячейки имеют минимальные отклонения в параметрах. </span>

<span class=""Y2IQFc"" lang=""ru"">- низкое внутреннее сопротивление обеспечивает эффективную работу и меньший нагрев. </span>

<span class=""Y2IQFc"" lang=""ru"">- длительный ресурс – больше циклов заряда-разряда без значительной деградации. </span>

<span class=""Y2IQFc"" lang=""ru"">- стабильная производительность – ячейки не имеют дефектов и работают в пределах безопасных допусков.</span>

&nbsp;

Серия LIT LiFePO4 состоит из железофосфата лития и предлагает до 20 раз больше циклов и в 5 раз

больший срок службы в режиме резервного питания чем свинцово-кислотные аккумуляторы, что сводит к

минимуму затраты на замену и снижает общую стоимость.

Комплектуется блоком BMC, измеряющим ток, напряжение, температуру каждой отдельной ячейки и температуру снаружи батареи.

Литиевые аккумуляторы серии Ultracell LIT выпускаются в нескольких модификациях:
<ul>
 	<li>с дисплеем</li>
 	<li>с Bluetooth</li>
 	<li>с Bluetooth и дисплеем</li>
 	<li>standart (чистый)</li>
</ul>
<div>Наличие на батарее дисплея позволяет узнать краткую информацию о состоянии батареи.</div>
<div>Наличие на батарее Bluetooth позволяет подключить режим мониторинга в реальном времени и получать на телефон подробную информацию на данный момент по аккумуляторной батарее и каждой ячейке в отдельности.</div>
Применение
<ul>
 	<li>Электромобили, медицинское оборудование,</li>
 	<li>телекоммуникации, системы накопления энергии,</li>
 	<li>солнечная и возобновляемая энергетика.</li>
</ul>
Особенности
<ul>
 	<li>Экологичность. Не содержит тяжелых металлов.</li>
 	<li>Меньший вес, около 40% веса по сравнению со свинцово-кислотным аккумулятором. Непосредственная замена</li>
 	<li>свинцово-кислотным батареям.</li>
 	<li>Низкий уровень саморазряда (месяц): ≤2%, нет эффекта памяти.</li>
 	<li>Способность к высокой скорости разряда, сохраняя высокую энергетическую емкость, обеспечивая вдвое большую мощность, чем свинцово-кислотные батареи.</li>
 	<li>Полная безопасность, химия железофосфатов лития исключает риск взрыва или возгорания от удара, перезаряда или короткого замыкания.</li>
 	<li>Широкий диапазон рабочих температур (-20~60ºC) и хорошие высокотемпературные показатели.</li>
</ul>";LIT100-24-DISPLAY;simple;0;23400;20
10184;Ultracell LiFePO4 Аккумулятор литий-железо-фосфатный 25.6V 200Ah Grade A DISPLAY;"Ultracell LiFePO4 Аккумулятор литий-железо-фосфатный 25.6V 200Ah Grade A DISPLAY

<span class=""Y2IQFc"" lang=""ru"">В литий-железо-фосфатных аккумуляторах Ultracell LiFePO4 используются только ячейки класса А, которые обладают высочайшим качеством и соответствуют всем техническим характеристикам, заявленным производителем, что гарантирует долговечность и стабильность работы.</span>

<span class=""Y2IQFc"" lang=""ru"">Ячейки класса А имеют: </span>

<span class=""Y2IQFc"" lang=""ru"">- одинаковую емкость и напряжение – все ячейки имеют минимальные отклонения в параметрах. </span>

<span class=""Y2IQFc"" lang=""ru"">- низкое внутреннее сопротивление обеспечивает эффективную работу и меньший нагрев. </span>

<span class=""Y2IQFc"" lang=""ru"">- длительный ресурс – больше циклов заряда-разряда без значительной деградации. </span>

<span class=""Y2IQFc"" lang=""ru"">- стабильная производительность – ячейки не имеют дефектов и работают в пределах безопасных допусков.</span>

&nbsp;

Серия LIT LiFePO4 состоит из железофосфата лития и предлагает до 20 раз больше циклов и в 5 раз

больший срок службы в режиме резервного питания чем свинцово-кислотные аккумуляторы, что сводит к

минимуму затраты на замену и снижает общую стоимость.

Комплектуется блоком BMC, измеряющим ток, напряжение, температуру каждой отдельной ячейки и температуру снаружи батареи.

Литиевые аккумуляторы серии Ultracell LIT выпускаются в нескольких модификациях:
<ul>
 	<li>с дисплеем</li>
 	<li>с Bluetooth</li>
 	<li>с Bluetooth и дисплеем</li>
 	<li>standart (чистый)</li>
</ul>
<div>Наличие на батарее дисплея позволяет узнать краткую информацию о состоянии батареи.</div>
<div>Наличие на батарее Bluetooth позволяет подключить режим мониторинга в реальном времени и получать на телефон подробную информацию на данный момент по аккумуляторной батарее и каждой ячейке в отдельности.</div>
Применение
<ul>
 	<li>Электромобили, медицинское оборудование,</li>
 	<li>телекоммуникации, системы накопления энергии,</li>
 	<li>солнечная и возобновляемая энергетика.</li>
</ul>
Особенности
<ul>
 	<li>Экологичность. Не содержит тяжелых металлов.</li>
 	<li>Меньший вес, около 40% веса по сравнению со свинцово-кислотным аккумулятором. Непосредственная замена</li>
 	<li>свинцово-кислотным батареям.</li>
 	<li>Низкий уровень саморазряда (месяц): ≤2%, нет эффекта памяти.</li>
 	<li>Способность к высокой скорости разряда, сохраняя высокую энергетическую емкость, обеспечивая вдвое большую мощность, чем свинцово-кислотные батареи.</li>
 	<li>Полная безопасность, химия железофосфатов лития исключает риск взрыва или возгорания от удара, перезаряда или короткого замыкания.</li>
 	<li>Широкий диапазон рабочих температур (-20~60ºC) и хорошие высокотемпературные показатели.</li>
</ul>";LIT200-24-DISPLAY;simple;0;42210;20
10185;Ultracell LiFePO4 Акумулятор літій-залізо-фосфатний 25.6V 200Ah Grade A DISPLAY;"Ultracell LiFePO4 Акумулятор літій-залізо-фосфатний 25.6V 200Ah Grade A DISPLAY

В літій-залізо-фосфатних акумуляторах Ultracell LiFePO4 використовуються тільки <b>комірки класу А</b>, які мають найвищу якість і відповідають усім технічним характеристикам, заявленим виробником, що гарантує довговічність і стабільність роботи.

Комірки класу А мають:
<ul>
 	<li>однакову ємність та напругу – всі комірки мають мінімальні відхилення в параметрах.</li>
 	<li>низький внутрішній опір – забезпечує ефективну роботу та менший нагрів.</li>
 	<li>тривалий ресурс – більше циклів заряду-розряду без значної деградації.</li>
 	<li>стабільну продуктивність – комірки не мають дефектів і працюють у межах безпечних допусків.</li>
</ul>
&nbsp;

Серія LIT LiFePO4 складається з залізофосфату літію і пропонує до 20 разів більше циклів та в 5 разів

більший термін служби в режимі резервного живлення ніж свинцево-кислотні акумулятори, що зводить до

мінімуму витрати на заміну і знижує загальну вартість володіння.

Комплектується блоком BMC, вимірючим струм, напругу, температуру кожної окремої комірки і температуру зовні батареї.
<div>Літієві акумулятори серії Ultracell LIT випускаються в кількох модифікаціях:</div>
<ul>
 	<li>з дисплеєм</li>
 	<li>з Bluetooth</li>
 	<li>з Bluetooth та дисплеєм</li>
 	<li>standart (чистий)</li>
</ul>
<div>Наявність дисплея на батареї дозволяє дізнатися коротку інформацію про її стан.</div>
<div>Наявність Bluetooth дає змогу активувати режим моніторингу в реальному часі та отримувати на телефон детальну інформацію як про акумуляторну батарею, так і про кожну її комірку окремо.</div>
&nbsp;

Застосування
<ul>
 	<li>Електромобілі, медичне обладнання,</li>
 	<li>телекомунікації, системи накопичення енергії,</li>
 	<li>сонячна та відновлювана енергетика.</li>
</ul>
Особливості
<ul>
 	<li>Екологічність. Не містить важких металів.</li>
 	<li>Менша вага, близько 40% ваги порівняно зі свинцево-кислотним акумулятором. Безпосередня заміна свинцево-кислотним батареям.</li>
 	<li>Низький рівень саморозряду (на місяць): ≤2%, немає ефекту пам'яті.</li>
 	<li>Здатність до високої швидкості розряду, зберігаючи високу енергетичну ємність, забезпечуючи вдвічі більшу потужність ніж свинцево-кислотні батареї.</li>
 	<li>Повна безпека, хімія залізофосфатів літію виключає ризик вибуху або займання від удару, перезаряду або короткого замикання.</li>
 	<li>Широкий діапазон робочих температур (-20 ~ 60ºC) і хороші високотемпературні показники.</li>
</ul>
&nbsp;

&nbsp;";LIT200-24-DISPLAY;simple;0;42210;20
10188;Ultracell LiFePO4 Акумулятор літій-залізо-фосфатний 12.8V 100Ah Grade A BLUETOOTH;"Ultracell LiFePO4 Акумулятор літій-залізо-фосфатний 12.8V 100Ah Grade A BLUETOOTH

В літій-залізо-фосфатних акумуляторах Ultracell LiFePO4 використовуються тільки <b>комірки класу А</b>, які мають найвищу якість і відповідають усім технічним характеристикам, заявленим виробником, що гарантує довговічність і стабільність роботи.

Комірки класу А мають:
<ul>
 	<li>однакову ємність та напругу – всі комірки мають мінімальні відхилення в параметрах.</li>
 	<li>низький внутрішній опір – забезпечує ефективну роботу та менший нагрів.</li>
 	<li>тривалий ресурс – більше циклів заряду-розряду без значної деградації.</li>
 	<li>стабільну продуктивність – комірки не мають дефектів і працюють у межах безпечних допусків.</li>
</ul>
&nbsp;

Серія LIT LiFePO4 складається з залізофосфату літію і пропонує до 20 разів більше циклів та в 5 разів

більший термін служби в режимі резервного живлення ніж свинцево-кислотні акумулятори, що зводить до

мінімуму витрати на заміну і знижує загальну вартість володіння.

Комплектується блоком BMC, вимірючим струм, напругу, температуру кожної окремої комірки і температуру зовні батареї.
<div>Літієві акумулятори серії Ultracell LIT випускаються в кількох модифікаціях:</div>
<ul>
 	<li>з дисплеєм</li>
 	<li>з Bluetooth</li>
 	<li>з Bluetooth та дисплеєм</li>
 	<li>standart (чистий)</li>
</ul>
<div>Наявність дисплея на батареї дозволяє дізнатися коротку інформацію про її стан.</div>
<div>Наявність Bluetooth дає змогу активувати режим моніторингу в реальному часі та отримувати на телефон детальну інформацію як про акумуляторну батарею, так і про кожну її комірку окремо.</div>
&nbsp;

Застосування
<ul>
 	<li>Електромобілі, медичне обладнання,</li>
 	<li>телекомунікації, системи накопичення енергії,</li>
 	<li>сонячна та відновлювана енергетика.</li>
</ul>
Особливості
<ul>
 	<li>Екологічність. Не містить важких металів.</li>
 	<li>Менша вага, близько 40% ваги порівняно зі свинцево-кислотним акумулятором. Безпосередня заміна свинцево-кислотним батареям.</li>
 	<li>Низький рівень саморозряду (на місяць): ≤2%, немає ефекту пам'яті.</li>
 	<li>Здатність до високої швидкості розряду, зберігаючи високу енергетичну ємність, забезпечуючи вдвічі більшу потужність ніж свинцево-кислотні батареї.</li>
 	<li>Повна безпека, хімія залізофосфатів літію виключає ризик вибуху або займання від удару, перезаряду або короткого замикання.</li>
 	<li>Широкий діапазон робочих температур (-20 ~ 60ºC) і хороші високотемпературні показники.</li>
</ul>
&nbsp;

&nbsp;";LIT100-12-BLUETOOTH;simple;0;15240;20
10189;Ultracell LiFePO4 Аккумулятор литий-железо-фосфатный 12.8V 100Ah Grade A BLUETOOTH;"Ultracell LiFePO4 Аккумулятор литий-железо-фосфатный 12.8V 100Ah Grade A BLUETOOTH

<span class=""Y2IQFc"" lang=""ru"">В литий-железо-фосфатных аккумуляторах Ultracell LiFePO4 используются только ячейки класса А, которые обладают высочайшим качеством и соответствуют всем техническим характеристикам, заявленным производителем, что гарантирует долговечность и стабильность работы.</span>

<span class=""Y2IQFc"" lang=""ru"">Ячейки класса А имеют: </span>

<span class=""Y2IQFc"" lang=""ru"">- одинаковую емкость и напряжение – все ячейки имеют минимальные отклонения в параметрах. </span>

<span class=""Y2IQFc"" lang=""ru"">- низкое внутреннее сопротивление обеспечивает эффективную работу и меньший нагрев. </span>

<span class=""Y2IQFc"" lang=""ru"">- длительный ресурс – больше циклов заряда-разряда без значительной деградации. </span>

<span class=""Y2IQFc"" lang=""ru"">- стабильная производительность – ячейки не имеют дефектов и работают в пределах безопасных допусков.</span>

&nbsp;

Серия LIT LiFePO4 состоит из железофосфата лития и предлагает до 20 раз больше циклов и в 5 раз

больший срок службы в режиме резервного питания чем свинцово-кислотные аккумуляторы, что сводит к

минимуму затраты на замену и снижает общую стоимость.

Комплектуется блоком BMC, измеряющим ток, напряжение, температуру каждой отдельной ячейки и температуру снаружи батареи.

Литиевые аккумуляторы серии Ultracell LIT выпускаются в нескольких модификациях:
<ul>
 	<li>с дисплеем</li>
 	<li>с Bluetooth</li>
 	<li>с Bluetooth и дисплеем</li>
 	<li>standart (чистый)</li>
</ul>
<div>Наличие на батарее дисплея позволяет узнать краткую информацию о состоянии батареи.</div>
<div>Наличие на батарее Bluetooth позволяет подключить режим мониторинга в реальном времени и получать на телефон подробную информацию на данный момент по аккумуляторной батарее и каждой ячейке в отдельности.</div>
Применение
<ul>
 	<li>Электромобили, медицинское оборудование,</li>
 	<li>телекоммуникации, системы накопления энергии,</li>
 	<li>солнечная и возобновляемая энергетика.</li>
</ul>
Особенности
<ul>
 	<li>Экологичность. Не содержит тяжелых металлов.</li>
 	<li>Меньший вес, около 40% веса по сравнению со свинцово-кислотным аккумулятором. Непосредственная замена</li>
 	<li>свинцово-кислотным батареям.</li>
 	<li>Низкий уровень саморазряда (месяц): ≤2%, нет эффекта памяти.</li>
 	<li>Способность к высокой скорости разряда, сохраняя высокую энергетическую емкость, обеспечивая вдвое большую мощность, чем свинцово-кислотные батареи.</li>
 	<li>Полная безопасность, химия железофосфатов лития исключает риск взрыва или возгорания от удара, перезаряда или короткого замыкания.</li>
 	<li>Широкий диапазон рабочих температур (-20~60ºC) и хорошие высокотемпературные показатели.</li>
</ul>";LIT100-12-BLUETOOTH;simple;0;15240;20
10191;Ultracell LiFePO4 Акумулятор літій-залізо-фосфатний 12.8V 200Ah Grade A BLUETOOTH;"Ultracell LiFePO4 Акумулятор літій-залізо-фосфатний 12.8V 200Ah Grade A BLUETOOTH

В літій-залізо-фосфатних акумуляторах Ultracell LiFePO4 використовуються тільки <b>комірки класу А</b>, які мають найвищу якість і відповідають усім технічним характеристикам, заявленим виробником, що гарантує довговічність і стабільність роботи.

Комірки класу А мають:
<ul>
 	<li>однакову ємність та напругу – всі комірки мають мінімальні відхилення в параметрах.</li>
 	<li>низький внутрішній опір – забезпечує ефективну роботу та менший нагрів.</li>
 	<li>тривалий ресурс – більше циклів заряду-розряду без значної деградації.</li>
 	<li>стабільну продуктивність – комірки не мають дефектів і працюють у межах безпечних допусків.</li>
</ul>
&nbsp;

Серія LIT LiFePO4 складається з залізофосфату літію і пропонує до 20 разів більше циклів та в 5 разів

більший термін служби в режимі резервного живлення ніж свинцево-кислотні акумулятори, що зводить до

мінімуму витрати на заміну і знижує загальну вартість володіння.

Комплектується блоком BMC, вимірючим струм, напругу, температуру кожної окремої комірки і температуру зовні батареї.
<div>Літієві акумулятори серії Ultracell LIT випускаються в кількох модифікаціях:</div>
<ul>
 	<li>з дисплеєм</li>
 	<li>з Bluetooth</li>
 	<li>з Bluetooth та дисплеєм</li>
 	<li>standart (чистий)</li>
</ul>
<div>Наявність дисплея на батареї дозволяє дізнатися коротку інформацію про її стан.</div>
<div>Наявність Bluetooth дає змогу активувати режим моніторингу в реальному часі та отримувати на телефон детальну інформацію як про акумуляторну батарею, так і про кожну її комірку окремо.</div>
&nbsp;

Застосування
<ul>
 	<li>Електромобілі, медичне обладнання,</li>
 	<li>телекомунікації, системи накопичення енергії,</li>
 	<li>сонячна та відновлювана енергетика.</li>
</ul>
Особливості
<ul>
 	<li>Екологічність. Не містить важких металів.</li>
 	<li>Менша вага, близько 40% ваги порівняно зі свинцево-кислотним акумулятором. Безпосередня заміна свинцево-кислотним батареям.</li>
 	<li>Низький рівень саморозряду (на місяць): ≤2%, немає ефекту пам'яті.</li>
 	<li>Здатність до високої швидкості розряду, зберігаючи високу енергетичну ємність, забезпечуючи вдвічі більшу потужність ніж свинцево-кислотні батареї.</li>
 	<li>Повна безпека, хімія залізофосфатів літію виключає ризик вибуху або займання від удару, перезаряду або короткого замикання.</li>
 	<li>Широкий діапазон робочих температур (-20 ~ 60ºC) і хороші високотемпературні показники.</li>
</ul>
&nbsp;

&nbsp;";LIT200-12-BLUETOOTH;simple;0;28140;20
10192;Ultracell LiFePO4 Аккумулятор литий-железо-фосфатный 12.8V 200Ah Grade A BLUETOOTH;"Ultracell LiFePO4 Аккумулятор литий-железо-фосфатный 12.8V 200Ah Grade A BLUETOOTH

<span class=""Y2IQFc"" lang=""ru"">В литий-железо-фосфатных аккумуляторах Ultracell LiFePO4 используются только ячейки класса А, которые обладают высочайшим качеством и соответствуют всем техническим характеристикам, заявленным производителем, что гарантирует долговечность и стабильность работы.</span>

<span class=""Y2IQFc"" lang=""ru"">Ячейки класса А имеют: </span>

<span class=""Y2IQFc"" lang=""ru"">- одинаковую емкость и напряжение – все ячейки имеют минимальные отклонения в параметрах. </span>

<span class=""Y2IQFc"" lang=""ru"">- низкое внутреннее сопротивление обеспечивает эффективную работу и меньший нагрев. </span>

<span class=""Y2IQFc"" lang=""ru"">- длительный ресурс – больше циклов заряда-разряда без значительной деградации. </span>

<span class=""Y2IQFc"" lang=""ru"">- стабильная производительность – ячейки не имеют дефектов и работают в пределах безопасных допусков.</span>

&nbsp;

Серия LIT LiFePO4 состоит из железофосфата лития и предлагает до 20 раз больше циклов и в 5 раз

больший срок службы в режиме резервного питания чем свинцово-кислотные аккумуляторы, что сводит к

минимуму затраты на замену и снижает общую стоимость.

Комплектуется блоком BMC, измеряющим ток, напряжение, температуру каждой отдельной ячейки и температуру снаружи батареи.

Литиевые аккумуляторы серии Ultracell LIT выпускаются в нескольких модификациях:
<ul>
 	<li>с дисплеем</li>
 	<li>с Bluetooth</li>
 	<li>с Bluetooth и дисплеем</li>
 	<li>standart (чистый)</li>
</ul>
<div>Наличие на батарее дисплея позволяет узнать краткую информацию о состоянии батареи.</div>
<div>Наличие на батарее Bluetooth позволяет подключить режим мониторинга в реальном времени и получать на телефон подробную информацию на данный момент по аккумуляторной батарее и каждой ячейке в отдельности.</div>
Применение
<ul>
 	<li>Электромобили, медицинское оборудование,</li>
 	<li>телекоммуникации, системы накопления энергии,</li>
 	<li>солнечная и возобновляемая энергетика.</li>
</ul>
Особенности
<ul>
 	<li>Экологичность. Не содержит тяжелых металлов.</li>
 	<li>Меньший вес, около 40% веса по сравнению со свинцово-кислотным аккумулятором. Непосредственная замена</li>
 	<li>свинцово-кислотным батареям.</li>
 	<li>Низкий уровень саморазряда (месяц): ≤2%, нет эффекта памяти.</li>
 	<li>Способность к высокой скорости разряда, сохраняя высокую энергетическую емкость, обеспечивая вдвое большую мощность, чем свинцово-кислотные батареи.</li>
 	<li>Полная безопасность, химия железофосфатов лития исключает риск взрыва или возгорания от удара, перезаряда или короткого замыкания.</li>
 	<li>Широкий диапазон рабочих температур (-20~60ºC) и хорошие высокотемпературные показатели.</li>
</ul>";LIT200-12-BLUETOOTH;simple;0;28140;20
10195;Ultracell LiFePO4 Акумулятор літій-залізо-фосфатний 25.6V 100Ah Grade A BLUETOOTH;"Ultracell LiFePO4 Акумулятор літій-залізо-фосфатний 25.6V 100Ah Grade A BLUETOOTH

В літій-залізо-фосфатних акумуляторах Ultracell LiFePO4 використовуються тільки <b>комірки класу А</b>, які мають найвищу якість і відповідають усім технічним характеристикам, заявленим виробником, що гарантує довговічність і стабільність роботи.

Комірки класу А мають:
<ul>
 	<li>однакову ємність та напругу – всі комірки мають мінімальні відхилення в параметрах.</li>
 	<li>низький внутрішній опір – забезпечує ефективну роботу та менший нагрів.</li>
 	<li>тривалий ресурс – більше циклів заряду-розряду без значної деградації.</li>
 	<li>стабільну продуктивність – комірки не мають дефектів і працюють у межах безпечних допусків.</li>
</ul>
&nbsp;

Серія LIT LiFePO4 складається з залізофосфату літію і пропонує до 20 разів більше циклів та в 5 разів

більший термін служби в режимі резервного живлення ніж свинцево-кислотні акумулятори, що зводить до

мінімуму витрати на заміну і знижує загальну вартість володіння.

Комплектується блоком BMC, вимірючим струм, напругу, температуру кожної окремої комірки і температуру зовні батареї.
<div>Літієві акумулятори серії Ultracell LIT випускаються в кількох модифікаціях:</div>
<ul>
 	<li>з дисплеєм</li>
 	<li>з Bluetooth</li>
 	<li>з Bluetooth та дисплеєм</li>
 	<li>standart (чистий)</li>
</ul>
<div>Наявність дисплея на батареї дозволяє дізнатися коротку інформацію про її стан.</div>
<div>Наявність Bluetooth дає змогу активувати режим моніторингу в реальному часі та отримувати на телефон детальну інформацію як про акумуляторну батарею, так і про кожну її комірку окремо.</div>
&nbsp;

Застосування
<ul>
 	<li>Електромобілі, медичне обладнання,</li>
 	<li>телекомунікації, системи накопичення енергії,</li>
 	<li>сонячна та відновлювана енергетика.</li>
</ul>
Особливості
<ul>
 	<li>Екологічність. Не містить важких металів.</li>
 	<li>Менша вага, близько 40% ваги порівняно зі свинцево-кислотним акумулятором. Безпосередня заміна свинцево-кислотним батареям.</li>
 	<li>Низький рівень саморозряду (на місяць): ≤2%, немає ефекту пам'яті.</li>
 	<li>Здатність до високої швидкості розряду, зберігаючи високу енергетичну ємність, забезпечуючи вдвічі більшу потужність ніж свинцево-кислотні батареї.</li>
 	<li>Повна безпека, хімія залізофосфатів літію виключає ризик вибуху або займання від удару, перезаряду або короткого замикання.</li>
 	<li>Широкий діапазон робочих температур (-20 ~ 60ºC) і хороші високотемпературні показники.</li>
</ul>
&nbsp;

&nbsp;";LIT100-24-BLUETOOTH;simple;0;24180;20
10196;Ultracell LiFePO4 Аккумулятор литий-железо-фосфатный 25.6V 100Ah Grade A Grade A BLUETOOTH;"Ultracell LiFePO4 Аккумулятор литий-железо-фосфатный 25.6V 100Ah Grade A Grade A BLUETOOTH

<span class=""Y2IQFc"" lang=""ru"">В литий-железо-фосфатных аккумуляторах Ultracell LiFePO4 используются только ячейки класса А, которые обладают высочайшим качеством и соответствуют всем техническим характеристикам, заявленным производителем, что гарантирует долговечность и стабильность работы.</span>

<span class=""Y2IQFc"" lang=""ru"">Ячейки класса А имеют: </span>

<span class=""Y2IQFc"" lang=""ru"">- одинаковую емкость и напряжение – все ячейки имеют минимальные отклонения в параметрах. </span>

<span class=""Y2IQFc"" lang=""ru"">- низкое внутреннее сопротивление обеспечивает эффективную работу и меньший нагрев. </span>

<span class=""Y2IQFc"" lang=""ru"">- длительный ресурс – больше циклов заряда-разряда без значительной деградации. </span>

<span class=""Y2IQFc"" lang=""ru"">- стабильная производительность – ячейки не имеют дефектов и работают в пределах безопасных допусков.</span>

&nbsp;

Серия LIT LiFePO4 состоит из железофосфата лития и предлагает до 20 раз больше циклов и в 5 раз

больший срок службы в режиме резервного питания чем свинцово-кислотные аккумуляторы, что сводит к

минимуму затраты на замену и снижает общую стоимость.

Комплектуется блоком BMC, измеряющим ток, напряжение, температуру каждой отдельной ячейки и температуру снаружи батареи.

Литиевые аккумуляторы серии Ultracell LIT выпускаются в нескольких модификациях:
<ul>
 	<li>с дисплеем</li>
 	<li>с Bluetooth</li>
 	<li>с Bluetooth и дисплеем</li>
 	<li>standart (чистый)</li>
</ul>
<div>Наличие на батарее дисплея позволяет узнать краткую информацию о состоянии батареи.</div>
<div>Наличие на батарее Bluetooth позволяет подключить режим мониторинга в реальном времени и получать на телефон подробную информацию на данный момент по аккумуляторной батарее и каждой ячейке в отдельности.</div>
Применение
<ul>
 	<li>Электромобили, медицинское оборудование,</li>
 	<li>телекоммуникации, системы накопления энергии,</li>
 	<li>солнечная и возобновляемая энергетика.</li>
</ul>
Особенности
<ul>
 	<li>Экологичность. Не содержит тяжелых металлов.</li>
 	<li>Меньший вес, около 40% веса по сравнению со свинцово-кислотным аккумулятором. Непосредственная замена</li>
 	<li>свинцово-кислотным батареям.</li>
 	<li>Низкий уровень саморазряда (месяц): ≤2%, нет эффекта памяти.</li>
 	<li>Способность к высокой скорости разряда, сохраняя высокую энергетическую емкость, обеспечивая вдвое большую мощность, чем свинцово-кислотные батареи.</li>
 	<li>Полная безопасность, химия железофосфатов лития исключает риск взрыва или возгорания от удара, перезаряда или короткого замыкания.</li>
 	<li>Широкий диапазон рабочих температур (-20~60ºC) и хорошие высокотемпературные показатели.</li>
</ul>";LIT100-24-BLUETOOTH;simple;0;24180;20
10198;Ultracell LiFePO4 Акумулятор літій-залізо-фосфатний 25.6V 200Ah Grade A BLUETOOTH;"Ultracell LiFePO4 Акумулятор літій-залізо-фосфатний 25.6V 200Ah Grade A BLUETOOTH

В літій-залізо-фосфатних акумуляторах Ultracell LiFePO4 використовуються тільки <b>комірки класу А</b>, які мають найвищу якість і відповідають усім технічним характеристикам, заявленим виробником, що гарантує довговічність і стабільність роботи.

Комірки класу А мають:
<ul>
 	<li>однакову ємність та напругу – всі комірки мають мінімальні відхилення в параметрах.</li>
 	<li>низький внутрішній опір – забезпечує ефективну роботу та менший нагрів.</li>
 	<li>тривалий ресурс – більше циклів заряду-розряду без значної деградації.</li>
 	<li>стабільну продуктивність – комірки не мають дефектів і працюють у межах безпечних допусків.</li>
</ul>
&nbsp;

Серія LIT LiFePO4 складається з залізофосфату літію і пропонує до 20 разів більше циклів та в 5 разів

більший термін служби в режимі резервного живлення ніж свинцево-кислотні акумулятори, що зводить до

мінімуму витрати на заміну і знижує загальну вартість володіння.

Комплектується блоком BMC, вимірючим струм, напругу, температуру кожної окремої комірки і температуру зовні батареї.
<div>Літієві акумулятори серії Ultracell LIT випускаються в кількох модифікаціях:</div>
<ul>
 	<li>з дисплеєм</li>
 	<li>з Bluetooth</li>
 	<li>з Bluetooth та дисплеєм</li>
 	<li>standart (чистий)</li>
</ul>
<div>Наявність дисплея на батареї дозволяє дізнатися коротку інформацію про її стан.</div>
<div>Наявність Bluetooth дає змогу активувати режим моніторингу в реальному часі та отримувати на телефон детальну інформацію як про акумуляторну батарею, так і про кожну її комірку окремо.</div>
&nbsp;

Застосування
<ul>
 	<li>Електромобілі, медичне обладнання,</li>
 	<li>телекомунікації, системи накопичення енергії,</li>
 	<li>сонячна та відновлювана енергетика.</li>
</ul>
Особливості
<ul>
 	<li>Екологічність. Не містить важких металів.</li>
 	<li>Менша вага, близько 40% ваги порівняно зі свинцево-кислотним акумулятором. Безпосередня заміна свинцево-кислотним батареям.</li>
 	<li>Низький рівень саморозряду (на місяць): ≤2%, немає ефекту пам'яті.</li>
 	<li>Здатність до високої швидкості розряду, зберігаючи високу енергетичну ємність, забезпечуючи вдвічі більшу потужність ніж свинцево-кислотні батареї.</li>
 	<li>Повна безпека, хімія залізофосфатів літію виключає ризик вибуху або займання від удару, перезаряду або короткого замикання.</li>
 	<li>Широкий діапазон робочих температур (-20 ~ 60ºC) і хороші високотемпературні показники.</li>
</ul>
&nbsp;

&nbsp;";LIT200-24-BLUETOOTH;simple;0;42300;20
